ticker,name,sic_code,market_cap,exchange,cluster_id
ALKT,"Alkami Technology, Inc. Common Stock",7372,1741166166.98,XNAS,cluster_58
BLKB,"Blackbaud, Inc.",7372,1731161745.06,XNAS,cluster_58
DV,"DoubleVerify Holdings, Inc.",7370,1715518871.63,XNYS,cluster_62
LILAK,Liberty Latin America Ltd. Class C Common Stock,4841,1692828098.64,XNAS,cluster_59
LILA,Liberty Latin America Ltd. Class A Common Stock,4841,1652808521.84,XNAS,cluster_59
NSSC,"Napco Security Technologies, Inc",3669,1628076390.6,XNAS,cluster_15
APPN,Appian Corporation Class A Common Stock,7372,1620371404.25,XNAS,cluster_14
CLVT,Clarivate Plc,7374,1611870650.4199998,XNYS,cluster_12
PDFS,PDF Solutions Inc,7372,1599617430.9,XNAS,cluster_37
CTS,CTS Corporation,3672,1554834794.49,XNYS,cluster_34
KDK,"Kodiak AI, Inc. Common Stock",7373,1545795584.29,XNAS,cluster_66
KARO,Karooooo Ltd. Ordinary Shares,7372,1544356067.0,XNAS,cluster_4
SKYT,"SkyWater Technology, Inc. Common Stock",3674,1531746079.68,XNAS,cluster_34
XZO,"Exzeo Group, Inc.",7372,1523710930.4,XNYS,
RUM,Rumble Inc. Class A Common Stock,7370,1512400553.09,XNAS,cluster_8
ASAN,"Asana, Inc. Class A Common Stock",7372,1502509790.28,XNYS,cluster_42
AMZN,Amazon.Com Inc,5961,2792879192200.3,XNAS,curated_hyperscalers
ARM,Arm Holdings plc American Depositary Shares,,210966015731.85,XNAS,curated_cpus
ASML,ASML Holding NV,,533633882252.39996,XNAS,curated_ai_semiconductors
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,,2034832175999.9998,XNYS,curated_ai_semiconductors
SAP,SAP SE,,202559819237.52002,XNYS,cluster_54
BABA,"Alibaba Group Holding Limited American Depositary Shares, each represents eight Ordinary Shares",,313915528152.39996,XNYS,curated_china_tech_adrs
BIDU,"Baidu, Inc.",,42790174395.840004,XNAS,curated_china_tech_adrs
PDD,PDD Holdings Inc. American Depositary Shares,,138117404287.98,XNAS,curated_china_tech_adrs
JD,"JD.com, Inc.",,40605850392.090004,XNAS,curated_china_tech_adrs
NTES,"NetEase, inc.",,71317197014.8,XNAS,curated_china_tech_adrs
BILI,Bilibili Inc. American Depositary Shares,,8940743464.62,XNAS,curated_china_tech_adrs
